Postcode,Locality,State,Longitude,Latitude,SA3,SA3 Name,SA4,SA4 Name,Region
3055,BRUNSWICK WEST,VIC,144.942222,-37.763584,20603.0,Essendon,206.0,Melbourne - Inner,R1
3055,MOONEE VALE,VIC,144.942222,-37.763584,20603.0,Essendon,206.0,Melbourne - Inner,R1
3055,MORELAND WEST,VIC,144.942222,-37.763584,20603.0,Essendon,206.0,Melbourne - Inner,R1
3056,BRUNSWICK,VIC,144.96010800000002,-37.766292,20601.0,Brunswick - Coburg,206.0,Melbourne - Inner,R1
3056,BRUNSWICK LOWER,VIC,144.96010800000002,-37.766292,20601.0,Brunswick - Coburg,206.0,Melbourne - Inner,R1
3056,BRUNSWICK NORTH,VIC,144.96010800000002,-37.766292,20601.0,Brunswick - Coburg,206.0,Melbourne - Inner,R1
3057,BRUNSWICK EAST,VIC,144.97728,-37.770012,20601.0,Brunswick - Coburg,206.0,Melbourne - Inner,R1
3057,SUMNER,VIC,144.98033999999998,-37.772232,20601.0,Brunswick - Coburg,206.0,Melbourne - Inner,R1
3058,BATMAN,VIC,144.964524,-37.739901,21003.0,Moreland - North,210.0,Melbourne - North West,R1
3058,COBURG,VIC,144.964524,-37.739901,21003.0,Moreland - North,210.0,Melbourne - North West,R1
3058,COBURG NORTH,VIC,144.964524,-37.739901,21003.0,Moreland - North,210.0,Melbourne - North West,R1
3058,MERLYNSTON,VIC,144.964524,-37.739901,21003.0,Moreland - North,210.0,Melbourne - North West,R1
3058,MORELAND,VIC,144.964524,-37.739901,21003.0,Moreland - North,210.0,Melbourne - North West,R1
3059,GREENVALE,VIC,144.879626,-37.639887,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3060,FAWKNER,VIC,144.967874,-37.707326,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3060,FAWKNER EAST,VIC,144.967874,-37.707326,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3060,FAWKNER NORTH,VIC,144.967874,-37.707326,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3061,CAMPBELLFIELD,VIC,144.956763,-37.666265,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3062,SOMERTON,VIC,144.932557,-37.632985999999995,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3063,OAKLANDS JUNCTION,VIC,144.85608200000001,-37.595015000000004,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3063,YUROKE,VIC,144.85608200000001,-37.595015000000004,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3064,CRAIGIEBURN,VIC,144.942199,-37.546521999999996,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3064,DONNYBROOK,VIC,144.942199,-37.546521999999996,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3064,KALKALLO,VIC,144.942199,-37.546521999999996,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3064,MICKLEHAM,VIC,144.942199,-37.546521999999996,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3064,ROXBURGH PARK,VIC,144.942199,-37.546521999999996,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1
3065,FITZROY,VIC,144.977795,-37.802608,20607.0,Yarra,206.0,Melbourne - Inner,R1
3066,COLLINGWOOD,VIC,144.986906,-37.804846000000005,20607.0,Yarra,206.0,Melbourne - Inner,R1
3066,COLLINGWOOD NORTH,VIC,144.986906,-37.804846000000005,20607.0,Yarra,206.0,Melbourne - Inner,R1
3067,ABBOTSFORD,VIC,144.998203,-37.803515000000004,20607.0,Yarra,206.0,Melbourne - Inner,R1
